Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR584115	2.986792147220129	45.0	101.0	30.0	59943321.0
SRR584116	26.966653601831283	45.0	101.0	30.0	60577841.0
SRR584117	41.39761769246765	45.0	101.0	30.0	53540941.0
SRR584118	30.51546527151598	44.0	101.0	30.0	56983201.0
SRR584119	29.986606341884638	45.0	101.0	30.0	53347969.0
SRR584120	22.855313226552965	44.0	101.0	30.0	56579469.0
SRR584121	52.045679529427574	45.0	101.0	20.0	48594361.0
SRR584122	53.80573772215454	45.0	101.0	30.0	50870221.0
SRR584123	52.18082838048464	45.0	101.0	30.0	55415021.0
SRR584124	52.252335938480776	44.0	101.0	30.0	51922341.0
SRR584125	53.14583414104789	44.0	101.0	30.0	50703357.0
SRR584126	60.92582239203438	43.0	101.0	20.0	47569604.0
